parentUUID,rawTitle,cleanTitle,secondaryLanguageTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
6f7b2d57-fb2d-4396-8800-a70cfdeec06d,The Waiting City,The Waiting City,,100000,The Waiting City,100,https://www.imdb.com/title/tt1270850/,"Drama, Romance",Film,6.1,953,1,1,47,11,1,1,1,1,1,,1,4,3,4,22,14,,45,4,11,20,6,45
e2831b42-70d5-4ac1-b33f-edc17dbf9647,The Way I Love You,The Way I Love You,,100000,The Way I Love You,100,https://www.imdb.com/title/tt9537064/,Drama,Film,6.2,109,1,2,7,5,1,1,1,1,1,,,1,,,,2,,1,1,1,,,
2300a29f-4f7c-4dab-bbdb-1efa9643f11f,The Wall: Climb for Gold,The Wall: Climb for Gold,,100000,The Wall: Climb for Gold,95.83,https://www.imdb.com/title/tt15717116/,Documentary,Film,7.2,456,1,,4,3,2,2,1,,,,,,,1,,1,,,,7,,,
ae5cfa00-3c34-4620-8d6c-37c372b98db1,The Water Diviner,The Water Diviner,,100000,The Water Diviner,100,https://www.imdb.com/title/tt3007512/,"Drama, History, War",Film,7.0,78K,1,2,82,12,1,1,1,2,2,,1,22,5,9,24,32,30,44,19,13,20,1,71
83f5743e-bb8b-4ebf-982c-b88163e4b6b8,The Wedding Shaman // Manglingi,The Wedding Shaman,,100000,The Wedding Shaman,100,https://www.imdb.com/title/tt10066526/,"Drama, Romance",Film,7.1,176,1,2,13,10,1,1,1,1,,,,1,,,,3,,,1,1,,,
ade67075-53ae-4ba8-8a24-57c716b33ea8,The Weird Missing Case of Mr. J // 정승필 실종사건,The Weird Missing Case of Mr. J,,100000,The Weird Missing Case of Mr. J,96.77,https://www.imdb.com/title/tt1760439/,Comedy,Film,5.5,166,1,1,9,3,,1,,,,,,,,,,,,,,,,,
2ba1f0dc-6ce1-4c1d-aead-7489adf0eaa2,The White Ribbon // Das weiße Band,The White Ribbon,,100000,The White Ribbon,100,https://www.imdb.com/title/tt1149362/,"Drama, Mystery, Thriller",Film,7.8,77K,1,2,85,12,,1,1,3,1,2,1,11,3,4,21,9,,19,13,6,,2,18
b3b17b3b-884c-43f1-8bc6-084f6f983f98,The Whistleblower (2010),The Whistleblower,,100000,The Whistleblower,100,https://www.imdb.com/title/tt0896872/,"Biography, Crime, Drama",Film,7.1,36K,1,2,51,12,1,1,1,2,1,2,1,19,9,11,31,32,9,67,15,16,22,3,92
193eb5ca-08e1-4a10-a470-19f3628c1548,The Wolf and the Lion,The Wolf and the Lion,,100000,The Wolf and the Lion,100,https://www.imdb.com/title/tt10945288/,"Adventure, Drama, Family",Film,6.2,3.5K,1,4,29,12,1,1,1,,,,,2,1,2,4,8,,3,1,21,21,,11
e6618ec0-2aab-4e8a-8342-da57f83a2f57,The World Is Mine // Lumea e a mea,The World Is Mine,,100000,The World Is Mine,100,https://www.imdb.com/title/tt6075920/,Documentary,Film,5.9,17,1,,1,3,1,1,1,,,,,,,,,2,,,,1,,,
